회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
㈜아워홈,2023년 하반기 아워홈 신입사원 공개채용,신입,서울 강서구 외,"관리회계, 부가세신고, 정보디자인, 창고관리, 폰트디자인, 가스점검, 4대보험, 거래처관리, 재무회계, 무대디자인, 연구·실험·기술, 인테리어디자인, UI·UX기획, 식품MD, GUI, 영상제작, 자료조사, 비품관리, 생산관리, 영업기획",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43352265?Oem_Code=C1&logpath=1&stext=&listno=1
㈜올가홀푸드,"[풀무원] ORGA DX혁신 IT, O2O기획, 매니저, 점장후보, 수산판매, 조리",신입·경력1년↑,서울 송파구 외,"마트, 고객안내, 데이터관리, SI개발, 메뉴개발, 판매, 시장조사, 판매영업, 데이터분석, DBMS, 고객안내, 신사업기획, o2o기획, 생선손질, 네트워크관리, 샵마스터, 시스템분석, 시스템운영, 제안·컨설팅, 프로모터",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43354296?Oem_Code=C1&logpath=1&stext=&listno=2
코나모빌리티㈜,[코나모빌리티㈜] 사업 확장에 따른 팀원 충원,신입·경력3년↑,대구 중구 외,"네트워크관리, GUI, 증강현실, 인터페이스, SI개발, 테스터, 솔루션스아키텍트, 웹마스터, 서버관리, 클라이언트, SI개발, 모델링, 증강현실, 인터페이스, 클라우드개발자, 반응형웹, Client, 음성인식, 클라우드아키텍트, 클라이언트",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43310950?Oem_Code=C1&logpath=1&stext=&listno=3
㈜어니언소프트웨어,[어니언소프트웨어] 데이터센터 설비/전력계통 작화 작업 디자인 채용,신입·경력,서울 마포구 외,"기계, 솔루션, 자동제어, 전기, 포토샵, HMI, SQL, 소프트웨어, 데이터센터, 전력, 제어계측, RDBMS, SCADA, 데이터설비, 데이터센터설치, 네트웍구축, IDC, 네트워크관리, 서버구축, 시스템분석",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43278776?Oem_Code=C1&logpath=1&stext=&listno=4
㈜아이스크림미디어,아이스크림미디어 DATA 부문 인재 채용,신입·경력,경기 성남시,"모바일앱개발, 데이터관리, 데이터분석, 데이터시각화, 전기·전자, 정보통신·IT, 모델링, 제품개발, 데이터분석, 전략기획, 분석모델링, 데이터마이닝, 로봇설계, 연구기획, DW모델러, 서비스기획, 소프트웨어개발, DB튜닝",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43355412?Oem_Code=C1&logpath=1&stext=&listno=5
KB캐피탈㈜,KB캐피탈 각 부문 채용(계약직 및 정규직),신입·경력3년↑,서울 서초구,"전산입력, 종합금융, 빅데이터, 채권추심, 여신, 행정, DBMS, 문서관리, 캐피탈, 딥러닝, 데이터분석, 인공지능, BI, 모델링, 사업기획, 문서작성, 문서작성, 데이터분석, 전략기획, 분석모델링",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43371284?Oem_Code=C1&logpath=1&stext=&listno=6
한림기계㈜,한림기계(주) 전산관리 및 솔루션 도입(IT담당자),신입·경력,경기 화성시,"IT보안, ERP운영, 네트워크관리, 시스템운영, 기계, 기계조립, 서버구축, 사내전산관리, 기계설비, 서버관리",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43371883?Oem_Code=C1&logpath=1&stext=&listno=7
오상자이엘 ㈜,각 부문별 신입 및 경력직 채용,신입·경력,인천 부평구 외,"BigData, OLAP개발자, 데이터관리, 거래처관리, 솔루션영업, 펌웨어, 제어·설계, 데이터레이크, 검증, 시장조사, 프로모션, 영상제작, SNS마케팅, 솔루션, 영업기획, 장비영업, 키워드광고, 프로모션, DBMS, 시스템설계",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43364733?Oem_Code=C1&logpath=1&stext=&listno=8
교원그룹,교원그룹 11월 정기채용,신입·경력,서울 중구 외,"관리회계, 제품개발, 거래처관리, 고객응대, 급여관리, 기구설계, 재무회계, 회로설계, 인터페이스, 시장조사, 임베디드, 프로모션, 데이터분석, 삽화·일러스트, 영업기획, 데이터시각화, 자금관리, 시스템분석, 일본어, 가맹점관리",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43357688?Oem_Code=C1&logpath=1&stext=&listno=9
㈜시그날어페럴,쇼핑몰(소셜&오픈마켓) 상품등록 및 웹디자인 담당/보조 모집,신입·경력1년↑,서울 성동구,"사이트관리, UI·UX기획, GUI, 카페·블로그관리, 모바일디자인, 유통, 모바일디자인, 백화점, 의류매장, 삽화·일러스트, GUI, MD, UI·UX기획, POP",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43369502?Oem_Code=C1&logpath=1&stext=&listno=10
㈜비엠스마일,2023년 하반기 신입/경력사원 모집,신입·경력,서울 강남구,"문서작성, 상품입출고, 창고관리, 해피콜, GUI, 기업홍보, 컴플라이언스, 고객경험관리, 웹표준·웹접근성, 거래처관리, 라이센싱, 옥외광고, 저작권, 식품MD, 잡화디자인, GUI, 데이터분석, 교환·반품, 특허담당, SI개발",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43358305?Oem_Code=C1&logpath=1&stext=&listno=11
